PLAYER_ID,POSITION,TeamID,POSITION_SIMPLE
1630552,F,1610612737,F
1630235,G,1610612737,G
1641754,G-F,1610612737,G
1641723,G,1610612737,G
1627749,G,1610612737,G
1629027,G,1610612737,G
1629631,F-G,1610612737,F
203992,G,1610612737,G
1631100,F,1610612737,F
203991,C,1610612737,C
1630168,F-C,1610612737,F
1631243,F,1610612737,F
1629685,G-F,1610612737,G
1628981,F-C,1610612737,F
1629726,G,1610612737,G
1630249,G,1610612737,G
202083,G,1610612737,G
1630180,G-F,1610612737,G
1628369,F-G,1610612738,F
201950,G,1610612738,G
1627759,G-F,1610612738,G
204001,F-C,1610612738,F
1628401,G,1610612738,G
1630202,G,1610612738,G
1629052,F-G,1610612738,F
1641809,F,1610612738,F
1631120,G,1610612738,G
1630214,F,1610612738,F
1641775,G,1610612738,G
1630573,F,1610612738,F
1628436,C-F,1610612738,C
201143,C-F,1610612738,C
1630531,G,1610612738,G
1629004,G-F,1610612738,G
1629674,C,1610612738,C
1629622,G-F,1610612739,G
1629660,G-F,1610612739,G
1627747,G,1610612739,G
1630596,C,1610612739,C
1630241,G,1610612739,G
1631250,F,1610612739,F
1641854,G,1610612739,G
1629636,G,1610612739,G
202684,C-F,1610612739,C
1630600,F,1610612739,F
1627777,F,1610612739,F
1641734,F,1610612739,F
202694,F,1610612739,F
1627745,C,1610612739,C
1628386,C,1610612739,C
1629731,F-C,1610612739,F
1630171,F-G,1610612739,F
1628378,G,1610612739,G
1631220,G,1610612740,G
1629627,F,1610612740,F
203468,G,1610612740,G
1630529,F,1610612740,F
1630230,F,1610612740,F
1630700,G,1610612740,G
1627742,F,1610612740,F
1630631,G,1610612740,G
202685,C,1610612740,C
1626204,F-C,1610612740,F
1641722,G,1610612740,G
1630530,F,1610612740,F
1630604,F,1610612740,F
1630792,F,1610612740,F
1630346,F,1610612740,F
203469,F-C,1610612740,F
1630526,F,1610612740,F
1641847,G,1610612741,G
1629632,G,1610612741,G
1628366,G,1610612741,G
203083,C,1610612741,C
1628975,G,1610612741,G
1627936,G,1610612741,G
203897,G,1610612741,G
202696,C,1610612741,C
201942,G-F,1610612741,G
1630245,G,1610612741,G
1628470,F,1610612741,F
1641763,F,1610612741,F
1641931,F,1610612741,F
1641766,F,1610612741,F
1629750,G,1610612741,G
1631207,F,1610612741,F
1630172,F,1610612741,F
1630929,F,1610612741,F
203957,G,1610612742,G
1630314,G,1610612742,G
1630702,G,1610612742,G
1641726,C,1610612742,C
203939,F-C,1610612742,F
1630182,G,1610612742,G
1630639,G,1610612742,G
203501,G-F,1610612742,G
202681,G,1610612742,G
1641788,F,1610612742,F
1641765,F,1610612742,F
1629655,F-C,1610612742,F
1629023,F,1610612742,F
1630535,F,1610612742,F
1628467,F,1610612742,F
1627884,F,1610612742,F
1629029,F-G,1610612742,F
202693,F,1610612742,F
1631128,G,1610612743,G
1629008,F,1610612743,F
1631124,G,1610612743,G
1641816,F,1610612743,F
203484,G,1610612743,G
201599,C,1610612743,C
202704,G,1610612743,G
1631212,G,1610612743,G
203200,F-G,1610612743,F
1630296,F,1610612743,F
203999,C,1610612743,C
1631221,G,1610612743,G
1630192,F-C,1610612743,F
1629618,G,1610612743,G
1627750,G,1610612743,G
1630643,C,1610612743,C
1628427,F,1610612743,F
203932,F,1610612743,F
1627780,G,1610612744,G
1630228,F,1610612744,F
1641764,G,1610612744,G
101108,G,1610612744,G
1630541,G,1610612744,G
1626172,F,1610612744,F
202691,G,1610612744,G
1630586,F,1610612744,F
1630611,F,1610612744,F
1629010,G,1610612744,G
203967,F-C,1610612744,F
203952,F,1610612744,F
203110,F,1610612744,F
1631311,G,1610612744,G
201939,G,1610612744,G
1631218,F,1610612744,F
1630311,G,1610612744,G
1628988,G,1610612745,G
1631257,F,1610612745,F
1641708,G-F,1610612745,G
1629111,C,1610612745,C
1630224,G,1610612745,G
1627832,G,1610612745,G
1641715,F,1610612745,F
1630256,F,1610612745,F
1628415,G-F,1610612745,G
1631095,F,1610612745,F
203500,C,1610612745,C
1630207,G-F,1610612745,G
1631106,F,1610612745,F
1631466,G,1610612745,G
203493,G-F,1610612745,G
1630578,C,1610612745,C
201145,F,1610612745,F
1626246,C,1610612745,C
201566,G,1610612746,G
201935,G,1610612746,G
202695,F,1610612746,F
1630527,G,1610612746,G
1630538,G,1610612746,G
1629599,G-F,1610612746,G
1628464,F-C,1610612746,F
1641757,G,1610612746,G
202331,F,1610612746,F
1629611,G-F,1610612746,G
200782,F,1610612746,F
1641738,F,1610612746,F
1629875,G,1610612746,G
1630539,C-F,1610612746,C
1626181,G,1610612746,G
1631217,F,1610612746,F
1627826,C,1610612746,C
203486,F-C,1610612746,F
1641720,G,1610612747,G
1626156,G,1610612747,G
1629020,F,1610612747,F
203076,F-C,1610612747,F
1630219,G,1610612747,G
1629629,F-G,1610612747,F
1629216,G,1610612747,G
1631108,G,1610612747,G
1629637,C-F,1610612747,C
1627752,F,1610612747,F
1630658,C,1610612747,C
1630559,G,1610612747,G
1628385,F-C,1610612747,F
1641721,F,1610612747,F
2544,F,1610612747,F
203915,G,1610612747,G
1629060,F,1610612747,F
1626174,F,1610612747,F
1626196,G,1610612748,G
1626179,G,1610612748,G
1626153,G,1610612748,G
1631107,F,1610612748,F
1631288,F,1610612748,F
201988,G,1610612748,G
1631170,G,1610612748,G
1628389,C-F,1610612748,C
1629639,G,1610612748,G
1631214,G,1610612748,G
1628997,F,1610612748,F
1631306,F,1610612748,F
202710,F,1610612748,F
1629312,F,1610612748,F
1631115,C,1610612748,C
1628418,C-F,1610612748,C
201567,F-C,1610612748,F
1629130,F,1610612748,F
1641945,F,1610612749,F
203081,G,1610612749,G
1630699,F,1610612749,F
1627736,G,1610612749,G
1641753,F,1610612749,F
1626171,F,1610612749,F
201572,C,1610612749,C
201568,F,1610612749,F
1631260,G,1610612749,G
201976,G,1610612749,G
203114,F,1610612749,F
1631102,G,1610612749,G
1626192,G,1610612749,G
203507,F,1610612749,F
203648,F,1610612749,F
1641748,G,1610612749,G
1631157,G,1610612749,G
203109,F,1610612749,F
1641740,G,1610612750,G
203937,F-G,1610612750,F
1630183,F,1610612750,F
1630162,G,1610612750,G
1629162,G,1610612750,G
1631111,G,1610612750,G
1631169,F,1610612750,F
1629638,G,1610612750,G
201144,G,1610612750,G
1629675,C-F,1610612750,C
1630227,G,1610612750,G
1628420,G,1610612750,G
203933,F,1610612750,F
203497,C,1610612750,C
1626157,C-F,1610612750,C
1631159,F,1610612750,F
1630568,C,1610612750,C
1641727,F,1610612751,F
1628969,G-F,1610612751,G
1629661,F,1610612751,F
1628372,G,1610612751,G
1629022,G-F,1610612751,G
1630570,F,1610612751,F
1627732,G-F,1610612751,G
1628966,F,1610612751,F
1631367,G,1610612751,G
1641798,G,1610612751,G
203471,G,1610612751,G
1630549,C,1610612751,C
1641730,F,1610612751,F
1630592,F,1610612751,F
1630560,G,1610612751,G
1627827,F,1610612751,F
1629651,C,1610612751,C
1630553,G,1610612751,G
1628978,G,1610612752,G
1631210,F,1610612752,F
1630613,G,1610612752,G
